key;sources;monoculture;inhibition score;test organism;phylogenetic distance (Tamura-Nei);strain A;strain B
P2_m45_1|P2_m64_1;P_P;0;0;Acinetobacter;0.002391013;P2_m45_1;P2_m64_1
P2_m90_1|S2_m61_1;P_S;2;2;Staphylococcus;0.002408817;P2_m90_1;S2_m61_1
P2_m90_1|S2_m61_1;P_S;2;0;Acinetobacter;0.002408817;P2_m90_1;S2_m61_1
P2_m90_1|S2_m61_1;P_S;2;0;Staphylococcus;0.002408817;P2_m90_1;S2_m61_1
P2_m18_1|S2_m60_1;P_S;0;0;Staphylococcus;0.002441158;P2_m18_1;S2_m60_1
P2_m8_1|S2_m1_1;P_S;1;0;Staphylococcus;0.002498327;P2_m8_1;S2_m1_1
S2_m1_1|S2_m9_2;S_S;1;2;Staphylococcus;0.002500409;S2_m1_1;S2_m9_2
P2_m90_1|S2_m60_1;P_S;1;0;Acinetobacter;0.002505371;P2_m90_1;S2_m60_1
P2_m90_1|S2_m60_1;P_S;1;0;Staphylococcus;0.002505371;P2_m90_1;S2_m60_1
P2_m90_1|S2_m60_1;P_S;1;2;Staphylococcus;0.002505371;P2_m90_1;S2_m60_1
P2_m33_1|P2_m35_1;P_P;0;0;Staphylococcus;0.002514268;P2_m33_1;P2_m35_1
P3_m117_1|P3_m117_2;P_P;0;0;Acinetobacter;0.002515;P3_m117_1;P3_m117_2
P3_m117_1|P3_m117_2;P_P;0;0;Staphylococcus;0.002515;P3_m117_1;P3_m117_2
P3_m181_1|P3_m183_1;P_P;0;0;Staphylococcus;0.002719791;P3_m181_1;P3_m183_1
P3_m115_1|P3_m183_1;P_P;0;0;Staphylococcus;0.003019834;P3_m115_1;P3_m183_1
S2_m10_4|S2_m9_2;S_S;1;2;Staphylococcus;0.003332851;S2_m10_4;S2_m9_2
S2_m235_1|S2_m54_1;S_S;0;0;Staphylococcus;0.003402168;S2_m235_1;S2_m54_1
S2_m235_1|S2_m54_1;S_S;0;0;Acinetobacter;0.003402168;S2_m235_1;S2_m54_1
P2_m85_1|S2_m233_1;P_S;0;0;Acinetobacter;0.003413757;P2_m85_1;S2_m233_1
P2_m85_1|S2_m233_1;P_S;0;0;Staphylococcus;0.003413757;P2_m85_1;S2_m233_1
P3_m141_1|P3_m144_1;P_P;0;0;Staphylococcus;0.003481514;P3_m141_1;P3_m144_1
P3_m141_1|P3_m144_1;P_P;0;0;Acinetobacter;0.003481514;P3_m141_1;P3_m144_1
S2_m125_1|S2_m55_1;S_S;0;0;Staphylococcus;0.003495413;S2_m125_1;S2_m55_1
S2_m108_1|S3_m128_1;S_S;0;0;Staphylococcus;0.00461673;S2_m108_1;S3_m128_1
P3_m115_1|P3_m176_1;P_P;0;0;Acinetobacter;0.005124352;P3_m115_1;P3_m176_1
P3_m115_1|P3_m176_1;P_P;0;0;Staphylococcus;0.005124352;P3_m115_1;P3_m176_1
P3_m115_1|P3_m181_1;P_P;0;0;Staphylococcus;0.005126855;P3_m115_1;P3_m181_1
P3_m115_1|P3_m181_1;P_P;0;0;Acinetobacter;0.005126855;P3_m115_1;P3_m181_1
P2_m66_1|S2_m235_1;P_S;0;0;Staphylococcus;0.005679705;P2_m66_1;S2_m235_1
P2_m66_1|S2_m235_1;P_S;0;0;Acinetobacter;0.005679705;P2_m66_1;S2_m235_1
P2_m69_1|S2_m235_1;P_S;0;0;Staphylococcus;0.005679705;P2_m69_1;S2_m235_1
P2_m69_1|S2_m235_1;P_S;0;0;Acinetobacter;0.005679705;P2_m69_1;S2_m235_1
S2_m1_1|S2_m5_1;S_S;1;2;Staphylococcus;0.005845396;S2_m1_1;S2_m5_1
P2_m45_1|P3_m117_2;P_P;0;0;Acinetobacter;0.006023268;P2_m45_1;P3_m117_2
P2_m45_1|P3_m117_2;P_P;0;0;Staphylococcus;0.006023268;P2_m45_1;P3_m117_2
P1_m218_1|S3_m213_1;P_S;0;0;Acinetobacter;0.006889472;P1_m218_1;S3_m213_1
P1_m218_1|S3_m213_1;P_S;0;1;Staphylococcus;0.006889472;P1_m218_1;S3_m213_1
P2_m32_1|P2_m33_1;P_P;1;0;Staphylococcus;0.006986438;P2_m32_1;P2_m33_1
P3_m176_1|P3_m181_1;P_P;0;0;Acinetobacter;0.007015082;P3_m176_1;P3_m181_1
P3_m176_1|P3_m181_1;P_P;0;0;Staphylococcus;0.007015082;P3_m176_1;P3_m181_1
P2_m45_1|P3_m117_1;P_P;0;0;Staphylococcus;0.007225678;P2_m45_1;P3_m117_1
P2_m45_1|P3_m117_1;P_P;0;0;Acinetobacter;0.007225678;P2_m45_1;P3_m117_1
P2_m50_1|P2_m90_1;P_P;2;2;Staphylococcus;0.007256685;P2_m50_1;P2_m90_1
P2_m50_1|P2_m90_1;P_P;2;0;Acinetobacter;0.007256685;P2_m50_1;P2_m90_1
S2_m59_1|S3_m211_1;S_S;0;0;Staphylococcus;0.008173975;S2_m59_1;S3_m211_1
S2_m59_1|S3_m211_1;S_S;0;0;Acinetobacter;0.008173975;S2_m59_1;S3_m211_1
P2_m8_1|S2_m13_1;P_S;2;2;Staphylococcus;0.008363615;P2_m8_1;S2_m13_1
S2_m10_4|S2_m13_1;S_S;1;2;Staphylococcus;0.008363615;S2_m10_4;S2_m13_1
S2_m13_1|S2_m9_2;S_S;2;2;Staphylococcus;0.008368765;S2_m13_1;S2_m9_2
P2_m27_1|P2_m32_1;P_P;1;0;Acinetobacter;0.00933077;P2_m27_1;P2_m32_1
P2_m33_1|P2_m83_1;P_P;0;0;Staphylococcus;0.00958239;P2_m33_1;P2_m83_1
P2_m33_1|P2_m83_1;P_P;0;0;Acinetobacter;0.00958239;P2_m33_1;P2_m83_1
P2_m22_1|S2_m54_1;P_S;0;0;Acinetobacter;0.010094242;P2_m22_1;S2_m54_1
P2_m33_1|S3_m193_1;P_S;0;0;Staphylococcus;0.010101357;P2_m33_1;S3_m193_1
P2_m33_1|S3_m193_1;P_S;0;0;Acinetobacter;0.010101357;P2_m33_1;S3_m193_1
P2_m78_1|P2_m83_1;P_P;0;0;Acinetobacter;0.010213868;P2_m78_1;P2_m83_1
P2_m78_1|S3_m193_1;P_S;0;0;Acinetobacter;0.010213868;P2_m78_1;S3_m193_1
P2_m78_1|S3_m193_1;P_S;0;0;Staphylococcus;0.010213868;P2_m78_1;S3_m193_1
P2_m73_2|P2_m88_1;P_P;0;0;Staphylococcus;0.010493837;P2_m73_2;P2_m88_1
P2_m90_1|S3_m206_1;P_S;2;0;Staphylococcus;0.010926149;P2_m90_1;S3_m206_1
P2_m90_1|S3_m206_1;P_S;2;0;Acinetobacter;0.010926149;P2_m90_1;S3_m206_1
P1_m218_1|S2_m91_1;P_S;0;0;Acinetobacter;0.011228323;P1_m218_1;S2_m91_1
P1_m218_1|S2_m91_1;P_S;0;1;Staphylococcus;0.011228323;P1_m218_1;S2_m91_1
P3_m114_1|P3_m181_1;P_P;0;0;Acinetobacter;0.011238132;P3_m114_1;P3_m181_1
P3_m114_1|P3_m181_1;P_P;0;0;Staphylococcus;0.011238132;P3_m114_1;P3_m181_1
P2_m68_1|P2_m73_1;P_P;0;0;Acinetobacter;0.011375525;P2_m68_1;P2_m73_1
P2_m68_1|P2_m73_1;P_P;0;0;Staphylococcus;0.011375525;P2_m68_1;P2_m73_1
P2_m68_1|P2_m73_2;P_P;0;0;Staphylococcus;0.011375525;P2_m68_1;P2_m73_2
P2_m68_1|P2_m73_2;P_P;0;0;Acinetobacter;0.011375525;P2_m68_1;P2_m73_2
P2_m22_1|P2_m72_1;P_P;0;0;Staphylococcus;0.011543457;P2_m22_1;P2_m72_1
P2_m22_1|P2_m72_1;P_P;0;0;Acinetobacter;0.011543457;P2_m22_1;P2_m72_1
P2_m22_1|P2_m66_1;P_P;0;0;Acinetobacter;0.011792341;P2_m22_1;P2_m66_1
P2_m22_1|P2_m69_1;P_P;0;0;Acinetobacter;0.011792341;P2_m22_1;P2_m69_1
P3_m177_1|P3_m181_1;P_P;0;0;Acinetobacter;0.012102112;P3_m177_1;P3_m181_1
P3_m177_1|P3_m181_1;P_P;0;0;Staphylococcus;0.012102112;P3_m177_1;P3_m181_1
S2_m1_1|S3_m129_1;S_S;0;0;Staphylococcus;0.01257932;S2_m1_1;S3_m129_1
P2_m22_1|S2_m235_1;P_S;0;0;Acinetobacter;0.012620485;P2_m22_1;S2_m235_1
P2_m22_1|S2_m235_1;P_S;0;0;Staphylococcus;0.012620485;P2_m22_1;S2_m235_1
P1_m218_1|S2_m60_1;P_S;0;0;Staphylococcus;0.013849442;P1_m218_1;S2_m60_1
P1_m218_1|S2_m60_1;P_S;0;0;Acinetobacter;0.013849442;P1_m218_1;S2_m60_1
S3_m153_1|S3_m197_2;S_S;0;0;Acinetobacter;0.013992658;S3_m153_1;S3_m197_2
S3_m153_1|S3_m197_2;S_S;0;0;Staphylococcus;0.013992658;S3_m153_1;S3_m197_2
S2_m100_1|S2_m2_1;S_S;1;2;Staphylococcus;0.014280923;S2_m100_1;S2_m2_1
S2_m100_1|S2_m11_2;S_S;1;2;Staphylococcus;0.014280923;S2_m100_1;S2_m11_2
P2_m68_1|P3_m141_1;P_P;0;0;Staphylococcus;0.0149124;P2_m68_1;P3_m141_1
P2_m68_1|P3_m141_1;P_P;0;0;Acinetobacter;0.0149124;P2_m68_1;P3_m141_1
S2_m3_1|S3_m128_1;S_S;1;2;Staphylococcus;0.01512902;S2_m3_1;S3_m128_1
P2_m18_1|S3_m213_1;P_S;0;0;Staphylococcus;0.015432914;P2_m18_1;S3_m213_1
P2_m90_1|S3_m213_1;P_S;1;0;Staphylococcus;0.015827578;P2_m90_1;S3_m213_1
P2_m90_1|S3_m213_1;P_S;1;0;Acinetobacter;0.015827578;P2_m90_1;S3_m213_1
P2_m64_1|P3_m117_2;P_P;0;0;Staphylococcus;0.01610387;P2_m64_1;P3_m117_2
P2_m64_1|P3_m117_2;P_P;0;0;Acinetobacter;0.01610387;P2_m64_1;P3_m117_2
P3_m160_1|S3_m133_1;P_S;0;0;Acinetobacter;0.016139071;P3_m160_1;S3_m133_1
P3_m154_1|P3_m160_1;P_P;0;0;Acinetobacter;0.016139071;P3_m154_1;P3_m160_1
S3_m153_1|S3_m189_1;S_S;0;0;Acinetobacter;0.01625978;S3_m153_1;S3_m189_1
S3_m153_1|S3_m189_1;S_S;0;0;Staphylococcus;0.01625978;S3_m153_1;S3_m189_1
P2_m18_1|S3_m129_1;P_S;0;0;Staphylococcus;0.016619413;P2_m18_1;S3_m129_1
P3_m154_1|P3_m162_1;P_P;0;0;Staphylococcus;0.016755116;P3_m154_1;P3_m162_1
P3_m154_1|P3_m162_1;P_P;0;0;Acinetobacter;0.016755116;P3_m154_1;P3_m162_1
P3_m154_1|S3_m169_1;P_S;0;0;Acinetobacter;0.016755116;P3_m154_1;S3_m169_1
P3_m154_1|S3_m169_1;P_S;0;0;Staphylococcus;0.016755116;P3_m154_1;S3_m169_1
P3_m162_1|S3_m133_1;P_S;0;0;Staphylococcus;0.016755116;P3_m162_1;S3_m133_1
P3_m162_1|S3_m133_1;P_S;0;0;Acinetobacter;0.016755116;P3_m162_1;S3_m133_1
S3_m133_1|S3_m169_1;S_S;0;0;Acinetobacter;0.016755116;S3_m133_1;S3_m169_1
S3_m133_1|S3_m169_1;S_S;0;0;Staphylococcus;0.016755116;S3_m133_1;S3_m169_1
S3_m153_1|S3_m207_1;S_S;1;2;Staphylococcus;0.016970457;S3_m153_1;S3_m207_1
S3_m153_1|S3_m207_1;S_S;1;0;Acinetobacter;0.016970457;S3_m153_1;S3_m207_1
S2_m100_1|S3_m128_1;S_S;1;2;Staphylococcus;0.017685206;S2_m100_1;S3_m128_1
P2_m45_1|P3_m127_1;P_P;0;0;Acinetobacter;0.01817041;P2_m45_1;P3_m127_1
P2_m45_1|P3_m127_1;P_P;0;0;Staphylococcus;0.01817041;P2_m45_1;P3_m127_1
S3_m153_1|S3_m196_1;S_S;0;0;Acinetobacter;0.018193675;S3_m153_1;S3_m196_1
S3_m153_1|S3_m196_1;S_S;0;0;Staphylococcus;0.018193675;S3_m153_1;S3_m196_1
P2_m85_1|P3_m154_1;P_P;0;0;Acinetobacter;0.01844466;P2_m85_1;P3_m154_1
P2_m85_1|S3_m133_1;P_S;0;0;Acinetobacter;0.01844466;P2_m85_1;S3_m133_1
P3_m154_1|S2_m233_1;P_S;0;0;Acinetobacter;0.018480891;P3_m154_1;S2_m233_1
P3_m154_1|S2_m233_1;P_S;0;0;Staphylococcus;0.018480891;P3_m154_1;S2_m233_1
S2_m233_1|S3_m133_1;S_S;0;0;Acinetobacter;0.018480891;S2_m233_1;S3_m133_1
S2_m233_1|S3_m133_1;S_S;0;0;Staphylococcus;0.018480891;S2_m233_1;S3_m133_1
S2_m13_1|S3_m129_1;S_S;1;0;Staphylococcus;0.018533515;S2_m13_1;S3_m129_1
S3_m153_1|S3_m208_1;S_S;1;0;Acinetobacter;0.018625221;S3_m153_1;S3_m208_1
S3_m153_1|S3_m208_1;S_S;1;2;Staphylococcus;0.018625221;S3_m153_1;S3_m208_1
S3_m191_1|S3_m226_1;S_S;0;0;Acinetobacter;0.018645463;S3_m191_1;S3_m226_1
S3_m191_1|S3_m226_1;S_S;0;0;Staphylococcus;0.018645463;S3_m191_1;S3_m226_1
S3_m191_1|S3_m192_1;S_S;0;0;Acinetobacter;0.018645463;S3_m191_1;S3_m192_1
P2_m68_1|P3_m163_1;P_P;0;0;Staphylococcus;0.018746041;P2_m68_1;P3_m163_1
P2_m68_1|P3_m163_1;P_P;0;0;Acinetobacter;0.018746041;P2_m68_1;P3_m163_1
P2_m18_1|P2_m8_1;P_P;1;2;Staphylococcus;0.019034323;P2_m18_1;P2_m8_1
P2_m67_1|P2_m68_1;P_P;0;0;Staphylococcus;0.019354953;P2_m67_1;P2_m68_1
P2_m67_1|P2_m68_1;P_P;0;0;Acinetobacter;0.019354953;P2_m67_1;P2_m68_1
S2_m108_1|S2_m2_1;S_S;0;0;Staphylococcus;0.019804215;S2_m108_1;S2_m2_1
P2_m18_1|S2_m3_1;P_S;1;2;Staphylococcus;0.020228707;P2_m18_1;S2_m3_1
P2_m18_1|S2_m9_2;P_S;1;2;Staphylococcus;0.020233636;P2_m18_1;S2_m9_2
P2_m38_1|S3_m212_1;P_S;0;0;Staphylococcus;0.020835927;P2_m38_1;S3_m212_1
P2_m34_1|P2_m86_1;P_P;0;0;Staphylococcus;0.021020292;P2_m34_1;P2_m86_1
P2_m18_1|P3_m123_1;P_P;0;1;Staphylococcus;0.021418408;P2_m18_1;P3_m123_1
P2_m18_1|S2_m100_1;P_S;1;2;Staphylococcus;0.02142366;P2_m18_1;S2_m100_1
P2_m18_1|S2_m100_1;P_S;1;1;Staphylococcus;0.02142366;P2_m18_1;S2_m100_1
S2_m10_4|S2_m3_1;S_S;1;2;Staphylococcus;0.021955792;S2_m10_4;S2_m3_1
P2_m8_1|S2_m2_1;P_S;1;0;Staphylococcus;0.021955792;P2_m8_1;S2_m2_1
P2_m8_1|S2_m11_2;P_S;1;2;Staphylococcus;0.021955792;P2_m8_1;S2_m11_2
S2_m2_1|S2_m9_2;S_S;1;2;Staphylococcus;0.021960283;S2_m2_1;S2_m9_2
S2_m11_2|S2_m9_2;S_S;1;2;Staphylococcus;0.021960283;S2_m11_2;S2_m9_2
P2_m90_1|P3_m123_1;P_P;1;0;Staphylococcus;0.021967397;P2_m90_1;P3_m123_1
P2_m90_1|P3_m123_1;P_P;1;0;Acinetobacter;0.021967397;P2_m90_1;P3_m123_1
P2_m90_1|P3_m123_1;P_P;1;2;Staphylococcus;0.021967397;P2_m90_1;P3_m123_1
P2_m90_1|S2_m91_1;P_S;1;0;Acinetobacter;0.022002165;P2_m90_1;S2_m91_1
P2_m90_1|S2_m91_1;P_S;1;0;Staphylococcus;0.022002165;P2_m90_1;S2_m91_1
P2_m90_1|S2_m91_1;P_S;1;2;Staphylococcus;0.022002165;P2_m90_1;S2_m91_1
S2_m1_1|S2_m108_1;S_S;0;0;Staphylococcus;0.022178438;S2_m1_1;S2_m108_1
S2_m1_1|S2_m3_1;S_S;1;2;Staphylococcus;0.022816723;S2_m1_1;S2_m3_1
P2_m47_1|S3_m209_1;P_S;0;0;Staphylococcus;0.022916459;P2_m47_1;S3_m209_1
P2_m47_1|S3_m209_1;P_S;0;0;Acinetobacter;0.022916459;P2_m47_1;S3_m209_1
P2_m18_1|S3_m146_1;P_S;0;0;Staphylococcus;0.023841688;P2_m18_1;S3_m146_1
P2_m18_1|S3_m131_1;P_S;0;0;Staphylococcus;0.02384174;P2_m18_1;S3_m131_1
P2_m90_1|S3_m146_1;P_S;1;0;Acinetobacter;0.024453891;P2_m90_1;S3_m146_1
P2_m90_1|S3_m146_1;P_S;1;0;Staphylococcus;0.024453891;P2_m90_1;S3_m146_1
P2_m90_1|S3_m146_1;P_S;1;2;Staphylococcus;0.024453891;P2_m90_1;S3_m146_1
P2_m90_1|S3_m131_1;P_S;1;0;Acinetobacter;0.024453949;P2_m90_1;S3_m131_1
P2_m90_1|S3_m131_1;P_S;1;0;Staphylococcus;0.024453949;P2_m90_1;S3_m131_1
P2_m90_1|S3_m131_1;P_S;1;2;Staphylococcus;0.024453949;P2_m90_1;S3_m131_1
S2_m2_1|S3_m129_1;S_S;0;0;Staphylococcus;0.024552158;S2_m2_1;S3_m129_1
P3_m102_1|P3_m115_1;P_P;0;0;Staphylococcus;0.024653301;P3_m102_1;P3_m115_1
P3_m102_1|P3_m115_1;P_P;0;0;Acinetobacter;0.024653301;P3_m102_1;P3_m115_1
P3_m117_2|P3_m127_1;P_P;0;0;Acinetobacter;0.025564683;P3_m117_2;P3_m127_1
P3_m117_2|P3_m127_1;P_P;0;0;Staphylococcus;0.025564683;P3_m117_2;P3_m127_1
P2_m17_1|P3_m117_2;P_P;0;0;Staphylococcus;0.026106613;P2_m17_1;P3_m117_2
P2_m17_1|P3_m117_2;P_P;0;0;Acinetobacter;0.026106613;P2_m17_1;P3_m117_2
S2_m10_4|S2_m100_1;S_S;1;2;Staphylococcus;0.026254083;S2_m10_4;S2_m100_1
P2_m18_1|S2_m5_1;P_S;1;2;Staphylococcus;0.026285135;P2_m18_1;S2_m5_1
P2_m18_1|S2_m13_1;P_S;1;2;Staphylococcus;0.026285135;P2_m18_1;S2_m13_1
P2_m70_1|S2_m235_1;P_S;0;0;Staphylococcus;0.026550303;P2_m70_1;S2_m235_1
P2_m70_1|S2_m235_1;P_S;0;0;Acinetobacter;0.026550303;P2_m70_1;S2_m235_1
P2_m47_1|P3_m145_1;P_P;0;0;Acinetobacter;0.026804368;P2_m47_1;P3_m145_1
P2_m47_1|P3_m145_1;P_P;0;0;Staphylococcus;0.026804368;P2_m47_1;P3_m145_1
P2_m47_1|S3_m210_1;P_S;0;0;Staphylococcus;0.026804368;P2_m47_1;S3_m210_1
P2_m47_1|S3_m210_1;P_S;0;0;Acinetobacter;0.026804368;P2_m47_1;S3_m210_1
P1_m219_1|P2_m47_1;P_P;0;0;Staphylococcus;0.026891799;P1_m219_1;P2_m47_1
P1_m219_1|P2_m47_1;P_P;0;0;Acinetobacter;0.026891799;P1_m219_1;P2_m47_1
S2_m108_1|S2_m13_1;S_S;1;0;Staphylococcus;0.026927656;S2_m108_1;S2_m13_1
P2_m90_1|S2_m234_1;P_S;2;0;Staphylococcus;0.026962045;P2_m90_1;S2_m234_1
P2_m90_1|S2_m234_1;P_S;2;0;Acinetobacter;0.026962045;P2_m90_1;S2_m234_1
P2_m90_1|S2_m234_1;P_S;2;2;Staphylococcus;0.026962045;P2_m90_1;S2_m234_1
S2_m1_1|S2_m100_1;S_S;1;2;Staphylococcus;0.027120329;S2_m1_1;S2_m100_1
P2_m47_1|S3_m199_1;P_S;0;0;Staphylococcus;0.028399656;P2_m47_1;S3_m199_1
P2_m47_1|S3_m199_1;P_S;0;0;Acinetobacter;0.028399656;P2_m47_1;S3_m199_1
S2_m9_2|S3_m128_1;S_S;1;2;Staphylococcus;0.028840095;S2_m9_2;S3_m128_1
P2_m8_1|S3_m128_1;P_S;1;0;Staphylococcus;0.028846125;P2_m8_1;S3_m128_1
S2_m13_1|S2_m3_1;S_S;2;2;Staphylococcus;0.028849769;S2_m13_1;S2_m3_1
S2_m2_1|S2_m5_1;S_S;1;2;Staphylococcus;0.028849769;S2_m2_1;S2_m5_1
S2_m11_2|S2_m13_1;S_S;1;2;Staphylococcus;0.028849769;S2_m11_2;S2_m13_1
S3_m128_1|S3_m129_1;S_S;0;0;Staphylococcus;0.030598706;S3_m128_1;S3_m129_1
P3_m113_1|P3_m181_1;P_P;0;0;Acinetobacter;0.031349409;P3_m113_1;P3_m181_1
P3_m113_1|P3_m181_1;P_P;0;0;Staphylococcus;0.031349409;P3_m113_1;P3_m181_1
P2_m47_1|P2_m77_1;P_P;0;0;Acinetobacter;0.03209172;P2_m47_1;P2_m77_1
P2_m47_1|P2_m77_1;P_P;0;0;Staphylococcus;0.03209172;P2_m47_1;P2_m77_1
P2_m18_1|S3_m194_1;P_S;0;0;Staphylococcus;0.032414622;P2_m18_1;S3_m194_1
S2_m100_1|S2_m13_1;S_S;2;2;Staphylococcus;0.03318944;S2_m100_1;S2_m13_1
P2_m90_1|S3_m194_1;P_S;1;0;Staphylococcus;0.033253077;P2_m90_1;S3_m194_1
P2_m90_1|S3_m194_1;P_S;1;0;Acinetobacter;0.033253077;P2_m90_1;S3_m194_1
P2_m90_1|S3_m229_1;P_S;1;0;Staphylococcus;0.033253077;P2_m90_1;S3_m229_1
P2_m90_1|S3_m229_1;P_S;1;0;Acinetobacter;0.033253077;P2_m90_1;S3_m229_1
P2_m90_1|S3_m194_1;P_S;1;2;Staphylococcus;0.033253077;P2_m90_1;S3_m194_1
P2_m90_1|S3_m229_1;P_S;1;2;Staphylococcus;0.033253077;P2_m90_1;S3_m229_1
